date,day,segment_id,segment_index,latitude,longitude,land_use,land_use_encoded,segment_type,upstream_count,upstream_concentration,flow_rate,concentration,true_source_sink,true_role
2024-01-01,0,S1,0,40.0,-75.0,forest,0,headwater,0,0.0,1.0186935297283908,2.666435964585924,0.0,neutral
2024-01-01,0,S2,1,40.1,-75.1,forest,0,headwater,0,0.0,1.0186935297283908,3.095670655406815,0.0,neutral
2024-01-01,0,S3,2,40.0,-74.9,agriculture,1,headwater,0,0.0,1.0186935297283908,11.083712387660041,8.0,source
2024-01-01,0,S6,3,39.8,-74.8,urban,2,tributary,0,0.0,2.546733824320977,9.303154585441957,6.0,source
2024-01-01,0,S10,4,39.6,-74.8,urban,2,tributary,0,0.0,2.546733824320977,7.825736559792945,5.0,source
2024-01-01,0,S12,5,39.5,-75.0,forest,0,tributary,0,0.0,2.546733824320977,0.0,-3.0,sink
2024-01-01,0,S4,6,39.9,-75.0,forest,0,tributary,2,2.8810533099963695,3.0373870594567816,2.709639260270127,0.0,neutral
2024-01-01,0,S5,7,39.9,-74.9,agriculture,1,tributary,1,11.083712387660041,2.018693529728391,10.80648753633591,0.0,neutral
2024-01-01,0,S7,8,39.8,-75.0,forest,0,main_stem,1,2.709639260270127,6.037387059456782,1.9258745564620465,0.0,neutral
2024-01-01,0,S8,9,39.7,-74.9,wetland,3,main_stem,2,10.054821060888933,7.565427354049367,5.752993732590598,-4.5,sink
2024-01-01,0,S9,10,39.6,-74.9,agriculture,1,main_stem,2,3.8394341445263223,16.60281441350615,4.2993229029111415,0.0,neutral
2024-01-01,0,S11,11,39.5,-74.9,urban,2,main_stem,2,6.062529731352043,22.149548237827126,4.311144375578449,0.0,neutral
2024-01-01,0,S13,12,39.4,-74.9,urban,2,lower_reach,2,2.1555721877892244,29.696282062148104,3.7381560582214783,0.0,neutral
2024-01-01,0,S14,13,39.3,-74.9,urban,2,lower_reach,1,3.7381560582214783,34.6962820621481,3.5154340070857266,0.0,neutral
